id,games,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points
3510,991.0,2600.5000000000005,999.8000000000001,419.69999999999993,3059.6000000000004,1204.2,3116.7000000000003,10855.0
3511,5.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0
3512,46.0,15.4,9.200000000000001,13.0,80.1,34.9,76.0,53.3
3513,171.0,347.6,0.0,0.0,594.5,0.0,0.0,1770.5
3514,4.0,1.2,0.0,3.2,3.2,2.0,5.2,16.0
3515,72.0,108.4,31.4,4.6,74.4,21.0,72.0,209.39999999999998
3516,6.0,1.2000000000000002,0.0,0.0,7.199999999999999,0.0,0.0,10.8
3517,3.0,0.0,0.0,0.0,3.9000000000000004,0.0,0.0,0.0
3518,35.0,7.0,7.0,3.5,21.0,10.5,17.5,52.5
3519,270.0,280.4,142.6,8.9,307.0,128.7,229.60000000000002,1360.8
3520,651.0,810.7,242.70000000000002,120.0,1066.4999999999998,824.6999999999999,1597.1,3618.1000000000004
3521,19.0,13.299999999999999,5.7,1.9000000000000001,26.599999999999998,3.8000000000000003,26.599999999999998,95.0
3522,10.0,12.0,0.0,0.0,10.0,0.0,0.0,21.0
3523,443.0,903.5,490.4,251.6,673.6999999999999,467.8,850.6,4032.3999999999996
3524,125.0,184.5,0.0,0.0,440.80000000000007,306.6,496.4,781.8
3525,65.0,91.0,0.0,0.0,78.0,0.0,0.0,338.0
3526,85.0,131.5,75.9,16.200000000000003,169.5,48.2,56.49999999999999,422.29999999999995
3527,1000.0,2089.2000000000003,958.2999999999998,269.59999999999997,2363.8999999999996,943.6000000000001,3432.5000000000005,18337.699999999997
3528,16.0,8.6,5.5,1.1,17.6,6.4,18.5,42.9
3529,70.0,22.8,17.6,14.0,133.6,71.8,122.80000000000001,136.6
3530,586.0,1458.3999999999999,361.8,97.89999999999999,1018.8999999999999,537.4000000000001,841.6,4089.8
3531,1009.0,2570.4,1172.9999999999998,407.70000000000005,2257.2000000000003,1183.3999999999999,3724.2000000000003,17099.5
3532,78.0,8.2,7.800000000000001,0.0,36.099999999999994,5.300000000000001,31.1,133.9
3533,268.0,782.5999999999999,310.9,179.7,668.3,189.1,678.3,3260.2
3534,96.0,36.5,24.8,0.0,88.7,14.600000000000001,87.9,287.90000000000003
3535,620.0,4334.499999999999,1641.3,231.2,2115.1000000000004,1099.2000000000003,2251.8,9060.699999999999
3536,22.0,3.9000000000000004,0.0,0.0,10.3,6.6,10.3,60.1
3537,639.0,4191.700000000001,817.4,118.6,1126.3,442.10000000000014,1379.6000000000001,7086.400000000001
3538,783.0,1136.5000000000002,610.4999999999999,143.20000000000002,1530.6999999999998,938.1999999999999,2729.9000000000005,8039.7
3539,976.0,3393.7,1218.8000000000002,252.50000000000003,2507.9,880.5,2930.8999999999996,20509.800000000003
3540,66.0,26.400000000000002,0.0,0.0,158.4,0.0,0.0,283.8
3541,280.0,654.8000000000001,0.0,0.0,1156.3999999999999,0.0,0.0,2583.4
3542,563.0,1541.2000000000003,360.5,145.7,1326.5,677.4,1493.2,9406.300000000001
3543,32.0,6.4,0.0,0.0,16.0,0.0,0.0,57.6
3544,891.0,3908.5000000000005,858.0999999999999,170.1,1879.5999999999997,393.8999999999999,1595.3,8043.7
3545,189.0,317.1,0.0,0.0,530.2,0.0,0.0,2000.5
3546,23.0,4.6000000000000005,0.0,0.0,27.599999999999998,0.0,0.0,131.1
3547,35.0,17.5,0.0,0.0,52.5,0.0,0.0,150.5
3548,11.0,5.5,3.3,0.0,11.0,4.4,4.4,16.5
3549,82.0,25.200000000000003,15.299999999999999,5.1000000000000005,88.5,49.300000000000004,73.1,225.4
3550,7.0,0.7000000000000001,0.0,0.0,4.8999999999999995,0.0,0.0,13.299999999999999
3551,186.0,63.8,54.3,131.7,306.1,177.9,298.6,575.2
3552,590.0,969.8,144.2,17.8,1268.3,96.6,216.4,4199.0
3553,312.0,358.5,123.6,90.6,758.1,326.8,720.1,1722.1
3554,96.0,86.69999999999999,9.600000000000001,1.9000000000000004,82.6,14.299999999999999,9.7,428.50000000000006
3555,697.0,1665.8,238.8,39.2,1615.0,262.0,611.6,6885.8
3556,637.0,1064.3999999999999,0.0,0.0,2446.0000000000005,0.0,0.0,7641.5
3557,151.0,142.0,0.0,0.0,221.7,0.0,0.0,783.7
3558,28.0,2.8000000000000003,2.8000000000000003,0.0,22.400000000000002,8.4,14.0,39.199999999999996
3559,645.0,1495.4,420.2,121.4,1449.5,219.1,1095.9999999999998,5670.5
3560,114.0,285.1,62.2,10.9,117.2,55.8,94.4,384.7
3561,927.0,5051.900000000001,1638.1,377.7999999999999,2803.899999999999,646.6000000000001,2079.9000000000005,9694.099999999999
3562,47.0,19.0,0.0,0.0,117.0,0.0,0.0,224.1
3563,723.0,1206.5,136.0,127.89999999999999,1558.4,2430.0,4510.099999999999,9155.5
3564,295.0,257.8,271.2,194.9,644.8,342.20000000000005,846.5999999999999,1356.1999999999998
3565,94.0,54.7,31.5,0.0,70.2,14.200000000000003,60.099999999999994,386.2
3566,423.0,583.0999999999999,83.3,78.0,1313.1999999999998,360.8,682.3,3823.2
3567,3.0,0.8999999999999999,0.0,0.0,3.0,0.0,0.8999999999999999,0.0
3568,213.0,268.5,89.80000000000001,12.400000000000002,506.7,330.29999999999995,499.3999999999999,1662.9
3569,167.0,108.39999999999999,0.0,0.0,314.9,0.0,0.0,622.1
3570,365.0,786.8,144.69999999999996,14.4,399.49999999999994,58.7,397.0,2265.4
3571,892.0,1058.0000000000002,446.6,274.6,1709.3999999999999,916.5,1585.0000000000002,6540.400000000001
3572,218.0,120.1,0.0,0.0,483.29999999999995,0.0,0.0,1254.0
3573,87.0,39.0,44.4,14.100000000000001,164.7,129.0,185.1,330.3
3574,548.0,754.8000000000001,193.20000000000002,36.0,1187.3,928.4999999999999,1238.8999999999999,4636.3
3575,300.0,193.7,104.10000000000001,386.69999999999993,1062.5,512.3,1048.3999999999999,2556.3
3576,848.0,4197.7,2273.7000000000003,342.9,2870.7000000000003,1723.6000000000001,2599.6999999999994,11502.0
3577,1040.0,9885.8,77.0,7.0,2934.6,70.0,210.0,26712.100000000002
3578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3579,75.0,104.4,84.0,6.300000000000001,141.9,18.6,60.300000000000004,407.70000000000005
3580,572.0,747.3,259.5,103.80000000000001,1449.3,982.8000000000001,1818.9,4544.200000000001
3581,159.0,147.60000000000002,123.7,20.400000000000002,244.3,93.60000000000001,268.3,637.8000000000001
3582,111.0,142.2,64.0,17.1,184.40000000000003,44.599999999999994,125.19999999999999,512.3
3583,697.0,1373.1000000000001,754.6,541.9000000000001,2088.8999999999996,1546.9,4304.799999999999,12073.3
3584,1451.0,3185.2,1465.1000000000001,1445.8,4352.799999999999,1907.3,4622.3,20128.3
3585,987.0,2450.3,1383.6,2948.4,2843.9,3076.6,7409.6,20786.600000000002
3586,8.0,6.3,5.2,6.3,13.200000000000001,8.3,17.0,48.9
3587,24.0,10.8,7.199999999999999,6.3,27.599999999999998,2.4,39.900000000000006,128.7
3588,278.0,251.6,211.6,94.9,346.5,239.40000000000003,521.2,1932.3
3589,745.0,2291.5,24.5,0.0,1859.8,29.4,49.0,10717.100000000004
3590,688.0,1882.8,827.5,392.5,1842.9999999999998,1026.7,3170.4,14225.100000000002
3591,264.0,146.2,108.8,42.1,192.39999999999998,154.0,401.8,1140.1
3592,22.0,13.200000000000001,7.600000000000001,4.0,18.200000000000003,15.400000000000002,11.700000000000001,82.79999999999998
3593,6.0,1.7999999999999998,6.0,0.0,7.199999999999999,3.0,7.800000000000001,6.0
3594,412.0,767.7,220.09999999999997,79.1,701.9,215.6,514.5999999999999,3065.3
3595,38.0,23.8,10.9,3.3000000000000003,48.199999999999996,3.3000000000000003,44.6,126.2
3596,3.0,2.0999999999999996,0.0,0.0,0.0,0.8999999999999999,2.0999999999999996,5.1
3597,159.0,157.10000000000002,97.4,7.9,206.39999999999998,113.69999999999999,190.7,739.2
3598,73.0,43.800000000000004,57.7,171.70000000000002,239.49999999999997,199.20000000000002,265.20000000000005,549.0
